food_type,vehicle_type,time_of_day,travel_hours,ambient_temp_c,humidity_pct,container_temp_c,quantity,vehicle_compatible,temp_deviation,food_sensitivity,vehicle_efficiency,spoilage_probability,spoiled,risk_level
Dairy,Refrigerated Truck,afternoon,24.71,23.33,51.74,7.77,765,1,3.77,0.7,0.75,0.6144,1,High
Eggs,Normal Truck,night,27.72,28.56,48.61,27.13,215,0,23.63,0.6,0.0,0.9605,1,High
Fish,Frozen Container,morning,10.09,33.81,72.52,-3.79,227,1,4.79,0.95,0.95,0.5133,1,Medium
Vegetables,Normal Truck,morning,13.24,41.09,63.76,39.03,408,0,33.03,0.5,0.0,0.7996,1,High
Milk,Frozen Container,morning,18.87,20.9,67.95,4.92,463,1,1.92,0.8,0.95,0.4767,0,Medium
Dairy,Normal Truck,evening,24.81,18.51,51.03,17.58,96,0,13.58,0.7,0.0,0.9874,1,High
Fruits,Normal Truck,afternoon,10.58,22.11,54.52,21.01,730,0,13.51,0.4,0.0,0.7119,1,High
Dairy,Refrigerated Truck,night,9.98,22.17,49.94,6.61,999,1,2.61,0.7,0.75,0.3926,0,Medium
Vegetables,Normal Truck,morning,2.27,20.03,69.46,19.03,431,0,13.03,0.5,0.0,0.6332,1,High
Fish,Refrigerated Truck,evening,14.9,28.51,91.15,6.54,288,1,5.54,0.95,0.75,0.5783,1,Medium
Milk,Refrigerated Truck,evening,24.59,15.05,57.6,4.89,463,1,1.89,0.8,0.75,0.6297,1,High
Eggs,Frozen Container,evening,23.43,20.34,55.07,3.51,703,1,0.01,0.6,0.95,0.5011,1,Medium
Dairy,Refrigerated Truck,morning,3.95,19.57,90.99,3.75,102,1,0.25,0.7,0.75,0.3536,0,Medium
Fish,Refrigerated Truck,evening,24.74,27.99,49.47,5.4,485,1,4.4,0.95,0.75,0.6194,1,High
Vegetables,Frozen Container,morning,20.37,28.32,55.5,1.38,865,1,4.62,0.5,0.95,0.4553,0,Medium
Vegetables,Refrigerated Truck,evening,3.5,21.69,42.71,6.6,589,1,0.6,0.5,0.75,0.2505,0,Low
Meat,Refrigerated Truck,afternoon,10.56,34.01,69.57,2.28,417,1,2.28,0.9,0.75,0.5637,1,Medium
Dairy,Refrigerated Truck,morning,21.91,44.28,83.48,4.84,770,1,0.84,0.7,0.75,0.5725,1,Medium
Vegetables,Frozen Container,morning,24.94,27.72,69.74,2.03,226,1,3.97,0.5,0.95,0.5261,1,Medium
Milk,Refrigerated Truck,evening,28.13,28.06,63.2,7.06,840,1,4.06,0.8,0.75,0.6528,1,High
Milk,Normal Truck,afternoon,13.6,21.03,44.16,19.98,113,0,16.98,0.8,0.0,0.883,1,High
Dairy,Frozen Container,morning,22.96,40.35,82.42,1.72,362,1,2.28,0.7,0.95,0.539,1,Medium
Dairy,Normal Truck,night,11.88,19.89,65.99,18.89,182,0,14.89,0.7,0.0,0.7938,1,High
Dairy,Normal Truck,night,24.46,20.23,78.16,19.22,359,0,15.22,0.7,0.0,0.8771,1,High
Dairy,Refrigerated Truck,evening,20.68,28.67,59.01,3.42,672,1,0.58,0.7,0.75,0.4734,0,Medium
Fruits,Frozen Container,evening,11.82,20.65,69.35,-3.99,918,1,11.49,0.4,0.95,0.5257,1,Medium
Dairy,Normal Truck,evening,2.43,17.5,73.37,16.63,72,0,12.63,0.7,0.0,0.7613,1,High
Milk,Normal Truck,night,4.05,28.41,52.55,26.99,661,0,23.99,0.8,0.0,0.8353,1,High
Milk,Refrigerated Truck,evening,26.05,25.51,62.1,2.24,768,1,0.76,0.8,0.75,0.5855,1,Medium
Vegetables,Frozen Container,night,24.65,18.89,74.99,-0.54,414,1,6.54,0.5,0.95,0.5665,1,Medium
Vegetables,Refrigerated Truck,afternoon,29.91,22.15,87.46,6.7,586,1,0.7,0.5,0.75,0.5869,1,Medium
Dairy,Refrigerated Truck,afternoon,4.19,36.58,83.18,3.23,63,1,0.77,0.7,0.75,0.3242,0,Medium
Milk,Frozen Container,night,25.22,19.54,65.73,-0.1,570,1,3.1,0.8,0.95,0.6078,1,High
Dairy,Refrigerated Truck,morning,13.31,30.42,40.83,6.06,992,1,2.06,0.7,0.75,0.4297,0,Medium
Dairy,Normal Truck,night,14.6,20.07,61.35,19.06,947,0,15.06,0.7,0.0,0.848,1,High
Milk,Frozen Container,night,29.24,18.32,84.31,0.74,373,1,2.26,0.8,0.95,0.5926,1,Medium
Milk,Normal Truck,afternoon,22.67,27.06,82.08,25.71,768,0,22.71,0.8,0.0,0.9844,1,High
Fish,Normal Truck,night,16.68,19.25,42.09,18.28,460,0,17.28,0.95,0.0,0.9523,1,High
Vegetables,Normal Truck,night,23.17,21.78,42.37,20.7,699,0,14.7,0.5,0.0,0.9138,1,High
Meat,Frozen Container,afternoon,9.71,44.13,57.68,4.96,989,1,4.96,0.9,0.95,0.5087,1,Medium
Dairy,Frozen Container,evening,15.61,24.96,69.04,-0.84,302,1,4.84,0.7,0.95,0.5239,1,Medium
Meat,Frozen Container,evening,6.44,26.82,57.11,-4.34,800,1,4.34,0.9,0.95,0.4623,0,Medium
Meat,Normal Truck,night,5.17,26.59,67.05,25.26,969,0,25.26,0.9,0.0,0.8595,1,High
Milk,Refrigerated Truck,morning,15.4,22.65,81.38,4.77,803,1,1.77,0.8,0.75,0.5352,1,Medium
Dairy,Refrigerated Truck,evening,23.39,15.08,90.48,5.76,414,1,1.76,0.7,0.75,0.5587,1,Medium
Fish,Frozen Container,morning,15.21,33.43,42.55,2.2,938,1,1.2,0.95,0.95,0.5206,1,Medium
Dairy,Refrigerated Truck,morning,4.16,26.27,76.06,7.77,461,1,3.77,0.7,0.75,0.3888,0,Medium
Dairy,Frozen Container,evening,10.92,25.96,55.82,2.3,517,1,1.7,0.7,0.95,0.4275,0,Medium
Meat,Refrigerated Truck,night,15.99,21.58,73.61,7.16,358,1,7.16,0.9,0.75,0.5574,1,Medium
Fruits,Normal Truck,evening,26.83,20.68,81.23,19.64,260,0,12.14,0.4,0.0,0.8412,1,High
Meat,Normal Truck,night,20.27,21.84,61.88,20.75,974,0,20.75,0.9,0.0,1.0,1,High
Fruits,Frozen Container,morning,15.59,30.91,65.93,-1.2,819,1,8.7,0.4,0.95,0.4047,0,Medium
Milk,Refrigerated Truck,afternoon,27.61,21.05,81.66,3.06,306,1,0.06,0.8,0.75,0.6046,1,High
Milk,Normal Truck,evening,15.03,18.98,80.39,18.03,992,0,15.03,0.8,0.0,0.9686,1,High
Meat,Frozen Container,afternoon,4.32,42.71,56.13,-2.47,310,1,2.47,0.9,0.95,0.3383,0,Medium
Meat,Frozen Container,night,27.27,28.08,43.92,-3.53,55,1,3.53,0.9,0.95,0.5581,1,Medium
Vegetables,Frozen Container,evening,5.01,16.52,40.62,4.46,96,1,1.54,0.5,0.95,0.2453,0,Low
Fruits,Refrigerated Truck,afternoon,9.15,41.18,70.05,7.68,674,1,0.18,0.4,0.75,0.2976,0,Low
Meat,Frozen Container,night,4.05,26.47,55.66,-1.61,236,1,1.61,0.9,0.95,0.4871,0,Medium
Eggs,Refrigerated Truck,afternoon,23.1,44.14,82.88,5.6,760,1,2.1,0.6,0.75,0.5327,1,Medium
Fish,Normal Truck,afternoon,3.57,30.96,69.45,29.41,114,0,28.41,0.95,0.0,0.9061,1,High
Milk,Frozen Container,afternoon,28.02,34.97,61.72,-4.49,386,1,7.49,0.8,0.95,0.6632,1,High
Eggs,Refrigerated Truck,night,27.9,26.79,57.92,6.02,434,1,2.52,0.6,0.75,0.5316,1,Medium
Eggs,Refrigerated Truck,morning,5.53,21.33,48.11,4.58,987,1,1.08,0.6,0.75,0.228,0,Low
Meat,Normal Truck,afternoon,14.08,38.62,94.59,36.69,850,0,36.69,0.9,0.0,0.9862,1,High
Fish,Normal Truck,morning,7.82,31.61,69.97,30.03,377,0,29.03,0.95,0.0,0.9404,1,High
Milk,Frozen Container,night,25.59,25.84,44.29,-4.36,650,1,7.36,0.8,0.95,0.675,1,High
Fish,Normal Truck,evening,15.65,20.46,75.17,19.44,194,0,18.44,0.95,0.0,1.0,1,High
Vegetables,Refrigerated Truck,night,12.46,25.05,43.96,7.0,483,1,1.0,0.5,0.75,0.3999,0,Medium
Meat,Normal Truck,afternoon,14.37,38.81,54.52,36.87,197,0,36.87,0.9,0.0,0.9472,1,High
Dairy,Normal Truck,night,3.1,24.82,64.35,23.58,137,0,19.58,0.7,0.0,0.7869,1,High
Dairy,Normal Truck,night,21.68,16.02,50.66,15.22,123,0,11.22,0.7,0.0,0.8967,1,High
Fruits,Refrigerated Truck,evening,7.3,23.6,51.84,2.34,286,1,5.16,0.4,0.75,0.3385,0,Medium
Dairy,Refrigerated Truck,evening,15.7,22.69,54.73,5.72,922,1,1.72,0.7,0.75,0.4284,0,Medium
Fruits,Frozen Container,night,28.34,19.94,42.32,-3.38,693,1,10.88,0.4,0.95,0.5149,1,Medium
Meat,Refrigerated Truck,evening,26.51,25.57,64.96,4.34,917,1,4.34,0.9,0.75,0.6854,1,High
Meat,Normal Truck,night,12.45,22.4,71.85,21.28,238,0,21.28,0.9,0.0,0.9842,1,High
Meat,Frozen Container,afternoon,18.92,21.27,44.33,-1.37,244,1,1.37,0.9,0.95,0.5078,1,Medium
Fruits,Frozen Container,evening,4.5,21.46,49.61,3.41,899,1,4.09,0.4,0.95,0.3468,0,Medium
Eggs,Normal Truck,afternoon,29.32,25.73,63.31,24.44,945,0,20.94,0.6,0.0,1.0,1,High
Eggs,Normal Truck,night,24.69,23.05,55.3,21.9,668,0,18.4,0.6,0.0,0.9547,1,High
Meat,Refrigerated Truck,evening,9.0,15.98,77.98,4.81,72,1,4.81,0.9,0.75,0.5357,1,Medium
Dairy,Normal Truck,evening,8.07,25.04,93.39,23.79,232,0,19.79,0.7,0.0,0.807,1,High
Milk,Normal Truck,evening,15.59,23.15,56.76,21.99,674,0,18.99,0.8,0.0,0.9108,1,High
Vegetables,Refrigerated Truck,night,7.49,25.35,61.47,2.89,998,1,3.11,0.5,0.75,0.4054,0,Medium
Vegetables,Frozen Container,afternoon,20.58,35.98,55.74,-3.17,340,1,9.17,0.5,0.95,0.6436,1,High
Meat,Frozen Container,evening,2.65,28.45,51.59,-4.95,334,1,4.95,0.9,0.95,0.4052,0,Medium
Meat,Frozen Container,morning,11.51,37.11,70.66,-3.32,712,1,3.32,0.9,0.95,0.567,1,Medium
Fruits,Frozen Container,evening,17.02,21.56,54.73,-0.03,649,1,7.53,0.4,0.95,0.4401,0,Medium
Fish,Normal Truck,night,8.31,18.86,66.37,17.91,383,0,16.91,0.95,0.0,0.8779,1,High
Milk,Normal Truck,evening,12.31,20.6,61.09,19.57,546,0,16.57,0.8,0.0,0.9001,1,High
Eggs,Normal Truck,morning,24.9,19.04,87.89,18.08,161,0,14.58,0.6,0.0,0.9638,1,High
Dairy,Normal Truck,morning,25.91,21.78,69.93,20.7,638,0,16.7,0.7,0.0,0.909,1,High
Meat,Normal Truck,night,4.27,25.75,53.73,24.46,297,0,24.46,0.9,0.0,0.8412,1,High
Fruits,Frozen Container,morning,24.61,20.95,61.85,-3.3,750,1,10.8,0.4,0.95,0.537,1,Medium
Fruits,Frozen Container,morning,25.81,23.75,76.78,0.06,997,1,7.44,0.4,0.95,0.5171,1,Medium
Fruits,Normal Truck,morning,5.63,33.03,92.05,31.38,821,0,23.88,0.4,0.0,0.7912,1,High
Milk,Normal Truck,night,25.43,29.93,41.24,28.44,432,0,25.44,0.8,0.0,1.0,1,High
Meat,Frozen Container,afternoon,24.98,25.7,53.16,2.84,795,1,2.84,0.9,0.95,0.661,1,High
Meat,Frozen Container,night,22.4,20.32,73.7,-2.26,530,1,2.26,0.9,0.95,0.5727,1,Medium
Milk,Normal Truck,afternoon,9.26,20.29,46.56,19.27,864,0,16.27,0.8,0.0,0.8306,1,High
Fruits,Frozen Container,night,11.83,21.07,61.65,3.75,522,1,3.75,0.4,0.95,0.3101,0,Medium
Fish,Refrigerated Truck,night,29.7,17.5,42.57,3.43,941,1,2.43,0.95,0.75,0.6386,1,High
Eggs,Frozen Container,afternoon,13.45,35.87,65.57,-2.45,784,1,5.95,0.6,0.95,0.4893,0,Medium
Milk,Normal Truck,evening,16.22,22.93,84.58,21.78,521,0,18.78,0.8,0.0,0.9815,1,High
Eggs,Normal Truck,evening,16.01,28.41,90.59,26.99,593,0,23.49,0.6,0.0,0.926,1,High
Milk,Refrigerated Truck,night,3.06,20.51,69.83,6.24,831,1,3.24,0.8,0.75,0.3783,0,Medium
Vegetables,Frozen Container,night,22.0,28.75,78.8,-1.29,545,1,7.29,0.5,0.95,0.4877,0,Medium
Dairy,Normal Truck,morning,5.36,32.43,77.13,30.81,57,0,26.81,0.7,0.0,0.8671,1,High
Milk,Normal Truck,night,7.38,27.6,79.87,26.22,835,0,23.22,0.8,0.0,0.8761,1,High
Milk,Refrigerated Truck,morning,29.73,23.65,40.65,6.41,74,1,3.41,0.8,0.75,0.5621,1,Medium
Meat,Normal Truck,evening,27.31,19.8,76.86,18.81,833,0,18.81,0.9,0.0,1.0,1,High
Eggs,Frozen Container,afternoon,24.56,34.27,56.27,4.02,417,1,0.52,0.6,0.95,0.4403,0,Medium
Vegetables,Normal Truck,night,3.42,28.89,92.89,27.45,318,0,21.45,0.5,0.0,0.7553,1,High
Fruits,Normal Truck,evening,21.34,22.7,75.78,21.57,541,0,14.07,0.4,0.0,0.8325,1,High
Fruits,Frozen Container,evening,15.68,24.05,57.91,3.38,116,1,4.12,0.4,0.95,0.3547,0,Medium
Fish,Frozen Container,evening,11.15,24.35,43.1,3.94,615,1,2.94,0.95,0.95,0.4384,0,Medium
Dairy,Normal Truck,evening,5.36,22.25,77.7,21.14,529,0,17.14,0.7,0.0,0.7839,1,High
Meat,Normal Truck,evening,4.05,27.18,81.38,25.83,514,0,25.83,0.9,0.0,0.8898,1,High
Eggs,Normal Truck,morning,19.98,19.04,74.18,18.08,630,0,14.58,0.6,0.0,0.8916,1,High
Fruits,Normal Truck,afternoon,12.01,25.49,75.35,24.22,883,0,16.72,0.4,0.0,0.7675,1,High
Fruits,Normal Truck,night,17.72,28.24,69.03,26.83,937,0,19.33,0.4,0.0,0.9122,1,High
Vegetables,Refrigerated Truck,afternoon,22.98,44.05,44.05,7.63,537,1,1.63,0.5,0.75,0.5716,1,Medium
Fish,Normal Truck,afternoon,23.51,38.18,57.14,36.27,535,0,35.27,0.95,0.0,1.0,1,High
Milk,Normal Truck,afternoon,22.67,21.82,88.54,20.73,860,0,17.73,0.8,0.0,1.0,1,High
Fish,Normal Truck,afternoon,27.13,25.15,79.12,23.89,566,0,22.89,0.95,0.0,1.0,1,High
Fruits,Refrigerated Truck,evening,17.69,25.42,83.77,5.33,388,1,2.17,0.4,0.75,0.4492,0,Medium
Eggs,Normal Truck,morning,11.15,29.8,55.37,28.31,891,0,24.81,0.6,0.0,0.9147,1,High
Eggs,Normal Truck,evening,8.25,28.83,63.42,27.39,894,0,23.89,0.6,0.0,0.8244,1,High
Milk,Refrigerated Truck,night,27.29,17.1,45.29,6.25,636,1,3.25,0.8,0.75,0.5768,1,Medium
Fish,Frozen Container,night,16.77,17.12,40.04,-1.58,907,1,2.58,0.95,0.95,0.5441,1,Medium
Meat,Frozen Container,evening,20.63,16.18,73.21,-3.67,534,1,3.67,0.9,0.95,0.6502,1,High
Eggs,Frozen Container,night,12.57,21.67,42.55,-1.97,238,1,5.47,0.6,0.95,0.3887,0,Medium
Milk,Normal Truck,evening,13.91,18.71,81.16,17.77,519,0,14.77,0.8,0.0,0.9188,1,High
Milk,Normal Truck,afternoon,26.97,23.3,73.76,22.14,505,0,19.14,0.8,0.0,1.0,1,High
Fruits,Normal Truck,evening,19.49,19.24,60.79,18.28,490,0,10.78,0.4,0.0,0.7734,1,High
Fruits,Frozen Container,evening,16.11,25.63,53.69,4.24,609,1,3.26,0.4,0.95,0.4174,0,Medium
Fruits,Frozen Container,afternoon,27.12,31.99,65.05,-2.12,889,1,9.62,0.4,0.95,0.5277,1,Medium
Vegetables,Frozen Container,night,10.22,20.99,86.88,-4.76,446,1,10.76,0.5,0.95,0.5359,1,Medium
Vegetables,Normal Truck,night,18.9,29.01,51.19,27.56,845,0,21.56,0.5,0.0,0.9864,1,High
Dairy,Refrigerated Truck,evening,21.07,17.8,54.81,4.72,73,1,0.72,0.7,0.75,0.4696,0,Medium
Fruits,Normal Truck,evening,22.14,27.82,54.13,26.43,916,0,18.93,0.4,0.0,0.9371,1,High
Meat,Normal Truck,evening,3.58,16.55,63.73,15.72,617,0,15.72,0.9,0.0,0.8628,1,High
Meat,Normal Truck,evening,27.37,23.5,59.49,22.33,962,0,22.33,0.9,0.0,1.0,1,High
Meat,Frozen Container,evening,22.37,21.77,87.12,-3.16,596,1,3.16,0.9,0.95,0.5533,1,Medium
Vegetables,Refrigerated Truck,evening,7.77,28.15,48.71,3.24,50,1,2.76,0.5,0.75,0.2914,0,Low
Dairy,Refrigerated Truck,night,12.73,28.04,71.26,6.38,299,1,2.38,0.7,0.75,0.4842,0,Medium
Fruits,Frozen Container,afternoon,15.83,21.2,40.75,1.98,347,1,5.52,0.4,0.95,0.3677,0,Medium
Eggs,Frozen Container,evening,5.79,23.56,62.43,-3.64,281,1,7.14,0.6,0.95,0.3379,0,Medium
Vegetables,Refrigerated Truck,afternoon,11.68,27.66,40.46,6.66,313,1,0.66,0.5,0.75,0.3863,0,Medium
Eggs,Normal Truck,night,26.98,23.03,69.9,21.88,419,0,18.38,0.6,0.0,0.9209,1,High
Milk,Refrigerated Truck,afternoon,22.91,20.53,68.19,2.63,532,1,0.37,0.8,0.75,0.5628,1,Medium
Dairy,Frozen Container,night,12.75,29.17,66.5,-3.5,879,1,7.5,0.7,0.95,0.5648,1,Medium
Vegetables,Normal Truck,afternoon,15.52,42.21,94.05,40.1,960,0,34.1,0.5,0.0,0.9064,1,High
Fruits,Frozen Container,afternoon,11.09,39.11,81.74,-4.56,176,1,12.06,0.4,0.95,0.4547,0,Medium
Eggs,Frozen Container,night,13.56,23.06,42.71,1.09,50,1,2.41,0.6,0.95,0.4505,0,Medium
Milk,Normal Truck,afternoon,5.4,21.07,62.6,20.02,530,0,17.02,0.8,0.0,0.839,1,High
Dairy,Frozen Container,evening,10.8,24.5,45.82,2.73,806,1,1.27,0.7,0.95,0.3868,0,Medium
Milk,Refrigerated Truck,night,23.54,23.95,58.55,4.67,951,1,1.67,0.8,0.75,0.5772,1,Medium
Fruits,Refrigerated Truck,evening,15.31,20.45,75.26,3.26,154,1,4.24,0.4,0.75,0.4004,0,Medium
Milk,Normal Truck,night,5.94,24.37,80.09,23.16,360,0,20.16,0.8,0.0,0.8329,1,High
Fish,Frozen Container,afternoon,18.88,19.54,89.16,4.14,304,1,3.14,0.95,0.95,0.6671,1,High
Eggs,Frozen Container,afternoon,8.83,38.61,72.26,-3.71,585,1,7.21,0.6,0.95,0.5351,1,Medium
Fruits,Frozen Container,morning,21.27,34.31,91.47,4.83,342,1,2.67,0.4,0.95,0.4408,0,Medium
Fish,Normal Truck,afternoon,2.53,18.97,90.32,18.02,610,0,17.02,0.95,0.0,0.869,1,High
Meat,Normal Truck,evening,24.53,24.23,81.46,23.02,460,0,23.02,0.9,0.0,1.0,1,High
Vegetables,Refrigerated Truck,morning,23.95,30.24,83.57,2.82,846,1,3.18,0.5,0.75,0.5705,1,Medium
Fish,Refrigerated Truck,afternoon,5.27,25.38,51.52,3.75,245,1,2.75,0.95,0.75,0.4611,0,Medium
Meat,Normal Truck,afternoon,10.5,27.32,94.51,25.96,298,0,25.96,0.9,0.0,0.9479,1,High
Vegetables,Normal Truck,afternoon,21.42,19.07,86.17,18.12,821,0,12.12,0.5,0.0,0.8551,1,High
Milk,Normal Truck,night,8.19,25.16,82.47,23.9,951,0,20.9,0.8,0.0,0.8751,1,High
Fruits,Refrigerated Truck,afternoon,9.0,27.08,72.4,3.38,410,1,4.12,0.4,0.75,0.4508,0,Medium
Dairy,Refrigerated Truck,morning,2.3,38.97,85.19,4.12,956,1,0.12,0.7,0.75,0.2943,0,Low
Fruits,Normal Truck,evening,25.83,26.66,54.8,25.33,571,0,17.83,0.4,0.0,0.9263,1,High
Fish,Frozen Container,morning,14.79,43.44,88.83,-0.49,548,1,1.49,0.95,0.95,0.5635,1,Medium
Fish,Normal Truck,night,21.91,21.59,46.2,20.51,618,0,19.51,0.95,0.0,1.0,1,High
Eggs,Frozen Container,morning,23.67,27.68,50.08,-0.19,182,1,3.69,0.6,0.95,0.6114,1,High
Vegetables,Refrigerated Truck,evening,6.75,29.48,40.82,3.43,492,1,2.57,0.5,0.75,0.3512,0,Medium
Milk,Refrigerated Truck,evening,14.2,21.22,80.3,3.99,686,1,0.99,0.8,0.75,0.5231,1,Medium
Vegetables,Frozen Container,afternoon,12.35,31.12,57.26,2.78,578,1,3.22,0.5,0.95,0.3118,0,Medium
Meat,Normal Truck,night,14.54,22.96,62.87,21.81,375,0,21.81,0.9,0.0,0.9775,1,High
Dairy,Normal Truck,afternoon,5.77,26.65,90.24,25.31,123,0,21.31,0.7,0.0,0.9042,1,High
Fruits,Refrigerated Truck,evening,18.37,27.24,94.35,4.32,447,1,3.18,0.4,0.75,0.4674,0,Medium
Vegetables,Refrigerated Truck,afternoon,23.57,31.49,56.79,2.11,476,1,3.89,0.5,0.75,0.5463,1,Medium
Dairy,Refrigerated Truck,night,9.85,25.97,53.32,5.57,961,1,1.57,0.7,0.75,0.409,0,Medium
Dairy,Normal Truck,evening,28.14,28.01,52.85,26.61,442,0,22.61,0.7,0.0,1.0,1,High
Vegetables,Refrigerated Truck,afternoon,29.19,28.09,77.48,3.86,182,1,2.14,0.5,0.75,0.5906,1,Medium
Fish,Refrigerated Truck,night,5.37,25.55,75.47,5.31,695,1,4.31,0.95,0.75,0.5324,1,Medium
Fruits,Refrigerated Truck,afternoon,10.5,42.87,57.65,3.45,138,1,4.05,0.4,0.75,0.3209,0,Medium
Fish,Frozen Container,night,15.99,28.05,46.94,2.83,415,1,1.83,0.95,0.95,0.5501,1,Medium
Fruits,Frozen Container,afternoon,15.76,37.49,91.58,-1.37,271,1,8.87,0.4,0.95,0.497,0,Medium
Fish,Normal Truck,evening,19.34,24.76,50.94,23.52,964,0,22.52,0.95,0.0,1.0,1,High
Eggs,Frozen Container,night,27.47,29.74,50.89,-4.6,540,1,8.1,0.6,0.95,0.5695,1,Medium
Fruits,Normal Truck,afternoon,11.25,18.53,47.44,17.61,355,0,10.11,0.4,0.0,0.6371,1,High
Fruits,Refrigerated Truck,afternoon,8.46,27.47,81.68,3.74,766,1,3.76,0.4,0.75,0.3339,0,Medium
Dairy,Frozen Container,evening,28.07,16.66,62.34,-2.45,395,1,6.45,0.7,0.95,0.6129,1,High
Milk,Frozen Container,morning,10.55,22.26,49.57,4.27,873,1,1.27,0.8,0.95,0.4318,0,Medium
Vegetables,Refrigerated Truck,night,21.28,29.68,79.96,7.23,366,1,1.23,0.5,0.75,0.5118,1,Medium
Dairy,Refrigerated Truck,evening,8.98,20.13,49.25,4.16,586,1,0.16,0.7,0.75,0.3892,0,Medium
Dairy,Frozen Container,night,14.65,26.95,72.47,-0.57,815,1,4.57,0.7,0.95,0.4574,0,Medium
Fruits,Frozen Container,afternoon,24.2,34.99,48.4,-1.72,642,1,9.22,0.4,0.95,0.5885,1,Medium
Dairy,Refrigerated Truck,evening,20.74,18.24,72.5,4.34,496,1,0.34,0.7,0.75,0.5626,1,Medium
Eggs,Refrigerated Truck,afternoon,7.72,24.67,94.78,3.51,865,1,0.01,0.6,0.75,0.3823,0,Medium
Fruits,Refrigerated Truck,evening,15.33,28.52,41.91,2.08,260,1,5.42,0.4,0.75,0.4226,0,Medium
Eggs,Normal Truck,night,24.84,15.94,84.85,15.14,764,0,11.64,0.6,0.0,0.9162,1,High
Milk,Refrigerated Truck,evening,2.94,17.12,73.48,4.01,979,1,1.01,0.8,0.75,0.3537,0,Medium
Milk,Frozen Container,night,22.24,27.16,83.83,-0.59,686,1,3.59,0.8,0.95,0.6254,1,High
Meat,Normal Truck,morning,23.6,40.72,73.97,38.68,729,0,38.68,0.9,0.0,1.0,1,High
Dairy,Refrigerated Truck,afternoon,25.2,39.28,54.25,3.44,689,1,0.56,0.7,0.75,0.5554,1,Medium
Dairy,Refrigerated Truck,evening,11.46,21.28,67.97,7.92,731,1,3.92,0.7,0.75,0.4314,0,Medium
Meat,Normal Truck,afternoon,18.94,28.69,56.43,27.25,360,0,27.25,0.9,0.0,1.0,1,High
Milk,Refrigerated Truck,morning,3.82,40.28,46.93,5.35,541,1,2.35,0.8,0.75,0.339,0,Medium
Eggs,Frozen Container,afternoon,6.96,29.57,46.97,2.86,219,1,0.64,0.6,0.95,0.3403,0,Medium
Fish,Normal Truck,afternoon,19.02,33.55,49.0,31.87,734,0,30.87,0.95,0.0,1.0,1,High
Fish,Frozen Container,afternoon,29.11,38.33,84.61,3.72,157,1,2.72,0.95,0.95,0.6529,1,High
Fish,Normal Truck,afternoon,17.36,23.33,57.45,22.16,284,0,21.16,0.95,0.0,0.9874,1,High
Milk,Normal Truck,morning,3.45,22.28,84.7,21.17,522,0,18.17,0.8,0.0,0.896,1,High
Vegetables,Refrigerated Truck,morning,24.12,34.7,46.22,4.86,626,1,1.14,0.5,0.75,0.5216,1,Medium
Eggs,Refrigerated Truck,morning,22.82,33.68,61.35,3.66,603,1,0.16,0.6,0.75,0.4563,0,Medium
Fish,Refrigerated Truck,morning,6.78,35.9,86.89,5.37,783,1,4.37,0.95,0.75,0.5222,1,Medium
Dairy,Normal Truck,morning,15.17,43.82,82.17,41.63,329,0,37.63,0.7,0.0,0.9775,1,High
Dairy,Frozen Container,morning,26.03,43.83,67.45,3.5,219,1,0.5,0.7,0.95,0.5772,1,Medium
Fruits,Refrigerated Truck,afternoon,14.73,23.65,40.2,2.4,614,1,5.1,0.4,0.75,0.4025,0,Medium
Vegetables,Frozen Container,night,11.81,21.78,47.34,3.88,357,1,2.12,0.5,0.95,0.3482,0,Medium
Fish,Normal Truck,evening,12.59,22.1,74.67,20.99,75,0,19.99,0.95,0.0,0.9625,1,High
Fruits,Normal Truck,night,26.4,15.46,79.2,14.68,998,0,7.18,0.4,0.0,0.7749,1,High
Milk,Refrigerated Truck,morning,14.6,18.6,75.24,2.43,800,1,0.57,0.8,0.75,0.4327,0,Medium
Vegetables,Refrigerated Truck,morning,17.82,41.18,46.46,3.67,641,1,2.33,0.5,0.75,0.4482,0,Medium
Eggs,Normal Truck,evening,22.46,28.77,90.15,27.33,576,0,23.83,0.6,0.0,0.9533,1,High
Milk,Normal Truck,evening,21.2,26.38,69.3,25.06,831,0,22.06,0.8,0.0,1.0,1,High
Fish,Normal Truck,afternoon,4.83,26.34,73.62,25.02,164,0,24.02,0.95,0.0,0.8911,1,High
Fruits,Frozen Container,morning,20.96,32.11,83.01,-1.08,352,1,8.58,0.4,0.95,0.4644,0,Medium
Fruits,Normal Truck,night,27.98,28.98,79.63,27.53,221,0,20.03,0.4,0.0,0.965,1,High
Milk,Refrigerated Truck,afternoon,7.07,39.88,47.43,7.65,473,1,4.65,0.8,0.75,0.423,0,Medium
Dairy,Frozen Container,morning,29.38,44.85,70.56,-4.78,440,1,8.78,0.7,0.95,0.6516,1,High
Eggs,Refrigerated Truck,night,29.22,17.3,80.33,2.7,974,1,0.8,0.6,0.75,0.5882,1,Medium
Vegetables,Refrigerated Truck,night,10.06,17.78,75.84,6.13,888,1,0.13,0.5,0.75,0.3121,0,Medium
Milk,Normal Truck,afternoon,9.38,27.62,48.95,26.24,893,0,23.24,0.8,0.0,0.8537,1,High
Dairy,Frozen Container,morning,20.52,20.91,66.82,-0.56,57,1,4.56,0.7,0.95,0.5799,1,Medium
